ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,9/3/2020 12:00:00 AM,$0.62,$0.63,$0.61,$0.62,7869
Republican,9/4/2020 12:00:00 AM,$0.38,$0.43,$0.38,$0.41,8309
Democratic,9/4/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.63,8052
Republican,9/5/2020 12:00:00 AM,$0.41,$0.42,$0.39,$0.40,6166
Democratic,9/5/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,4360
Republican,9/6/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.40,5417
Democratic,9/6/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,6252
Republican,9/7/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.40,4476
Democratic,9/7/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,4600
Republican,9/8/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.39,8727
Democratic,9/8/2020 12:00:00 AM,$0.63,$0.64,$0.63,$0.64,4762
Republican,9/9/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.39,7681
Democratic,9/9/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.62,4924
Republican,9/10/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.38,2347
Democratic,9/10/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.64,1301
Republican,9/11/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.39,1840
Democratic,9/11/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.63,1112
Republican,9/12/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.39,6530
Democratic,9/12/2020 12:00:00 AM,$0.63,$0.64,$0.63,$0.63,5223
Republican,9/13/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.40,6671
Democratic,9/13/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,5269
Republican,9/14/2020 12:00:00 AM,$0.40,$0.40,$0.35,$0.37,31970
Democratic,9/14/2020 12:00:00 AM,$0.63,$0.67,$0.62,$0.65,22630
Republican,9/15/2020 12:00:00 AM,$0.37,$0.38,$0.36,$0.37,9747
Democratic,9/15/2020 12:00:00 AM,$0.65,$0.66,$0.64,$0.64,9227
Republican,9/16/2020 12:00:00 AM,$0.37,$0.38,$0.37,$0.38,5056
Democratic,9/16/2020 12:00:00 AM,$0.64,$0.66,$0.64,$0.64,4365
Republican,9/17/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.38,10277
Democratic,9/17/2020 12:00:00 AM,$0.64,$0.65,$0.63,$0.63,14525
Republican,9/18/2020 12:00:00 AM,$0.38,$0.38,$0.36,$0.38,11485
Democratic,9/18/2020 12:00:00 AM,$0.63,$0.66,$0.63,$0.65,15906
Republican,9/19/2020 12:00:00 AM,$0.38,$0.39,$0.36,$0.38,7125
Democratic,9/19/2020 12:00:00 AM,$0.65,$0.65,$0.63,$0.64,5707
Republican,9/20/2020 12:00:00 AM,$0.38,$0.40,$0.37,$0.38,10454
Democratic,9/20/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.63,14882
Republican,9/21/2020 12:00:00 AM,$0.38,$0.40,$0.38,$0.39,6359
Democratic,9/21/2020 12:00:00 AM,$0.63,$0.65,$0.62,$0.64,6368
Republican,9/22/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.40,14920
Democratic,9/22/2020 12:00:00 AM,$0.64,$0.65,$0.61,$0.62,10899
Republican,9/23/2020 12:00:00 AM,$0.40,$0.43,$0.39,$0.42,36563
Democratic,9/23/2020 12:00:00 AM,$0.62,$0.63,$0.59,$0.60,27628
Republican,9/24/2020 12:00:00 AM,$0.42,$0.44,$0.42,$0.43,14863
Democratic,9/24/2020 12:00:00 AM,$0.60,$0.61,$0.58,$0.59,14268
Republican,9/25/2020 12:00:00 AM,$0.43,$0.45,$0.42,$0.45,12783
Democratic,9/25/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.58,7935
Republican,9/26/2020 12:00:00 AM,$0.45,$0.45,$0.43,$0.43,2703
Democratic,9/26/2020 12:00:00 AM,$0.58,$0.60,$0.58,$0.59,3504
Republican,9/27/2020 12:00:00 AM,$0.43,$0.45,$0.41,$0.42,18566
Democratic,9/27/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.58,10577
Republican,9/28/2020 12:00:00 AM,$0.42,$0.43,$0.40,$0.40,7070
Democratic,9/28/2020 12:00:00 AM,$0.58,$0.61,$0.58,$0.61,7977
Republican,9/29/2020 12:00:00 AM,$0.40,$0.42,$0.39,$0.40,15853
Democratic,9/29/2020 12:00:00 AM,$0.61,$0.63,$0.60,$0.63,13793
Republican,9/30/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.39,14672
Democratic,9/30/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,12377
Republican,10/1/2020 12:00:00 AM,$0.39,$0.40,$0.35,$0.35,13834
Democratic,10/1/2020 12:00:00 AM,$0.63,$0.66,$0.62,$0.66,15465
Republican,10/2/2020 12:00:00 AM,$0.35,$0.39,$0.32,$0.36,22427
Democratic,10/2/2020 12:00:00 AM,$0.66,$0.71,$0.64,$0.66,21155
Republican,10/3/2020 12:00:00 AM,$0.36,$0.38,$0.34,$0.35,9433
Democratic,10/3/2020 12:00:00 AM,$0.66,$0.68,$0.65,$0.66,12593
Republican,10/4/2020 12:00:00 AM,$0.35,$0.37,$0.34,$0.37,5961
Democratic,10/4/2020 12:00:00 AM,$0.66,$0.68,$0.65,$0.66,8168
Republican,10/5/2020 12:00:00 AM,$0.37,$0.38,$0.32,$0.33,28177
Democratic,10/5/2020 12:00:00 AM,$0.66,$0.69,$0.64,$0.68,31997
Republican,10/6/2020 12:00:00 AM,$0.33,$0.34,$0.31,$0.34,20630
Democratic,10/6/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.69,25220
Republican,10/7/2020 12:00:00 AM,$0.34,$0.34,$0.30,$0.32,13863
Democratic,10/7/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.70,12231
